"CHOSEN INTERESTING!!! apparition post choc, fixation graduelle. /note=""membrane glycoprotein; Provisional"" /note=""family of the cytolysin A (ClyA) family alpha
                     pore-forming toxins (alpha-PFT) including Bacillus cereus
                     HblB, Aeromonas hydrophila AhlB, Bacillus thuringiensis
                     Cry6Aa and similar proteins; cl45899""";CyHV3_ORF99;186552;P30;3;0,874;sv;-11;DEL
"CHOSEN INTERESTING!!! apparition post choc, fixation graduelle. /note=""membrane glycoprotein; Provisional"" /note=""family of the cytolysin A (ClyA) family alpha
                     pore-forming toxins (alpha-PFT) including Bacillus cereus
                     HblB, Aeromonas hydrophila AhlB, Bacillus thuringiensis
                     Cry6Aa and similar proteins; cl45899""";CyHV3_ORF99;186552;P65;1;0,497;sv;-11;DEL
"CHOSEN INTERESTING!!! apparition post choc, fixation graduelle. /note=""membrane glycoprotein; Provisional"" /note=""family of the cytolysin A (ClyA) family alpha
                     pore-forming toxins (alpha-PFT) including Bacillus cereus
                     HblB, Aeromonas hydrophila AhlB, Bacillus thuringiensis
                     Cry6Aa and similar proteins; cl45899""";CyHV3_ORF99;186552;P65;3;0,445;sv;-11;DEL
"CHOSEN INTERESTING!!! apparition post choc, fixation graduelle. /note=""membrane glycoprotein; Provisional"" /note=""family of the cytolysin A (ClyA) family alpha
                     pore-forming toxins (alpha-PFT) including Bacillus cereus
                     HblB, Aeromonas hydrophila AhlB, Bacillus thuringiensis
                     Cry6Aa and similar proteins; cl45899""";CyHV3_ORF99;186552;P90;10;1;sv;-11;DEL
"CHOSEN INTERESTING!!! apparition post choc, fixation graduelle. /note=""membrane glycoprotein; Provisional"" /note=""family of the cytolysin A (ClyA) family alpha
                     pore-forming toxins (alpha-PFT) including Bacillus cereus
                     HblB, Aeromonas hydrophila AhlB, Bacillus thuringiensis
                     Cry6Aa and similar proteins; cl45899""";CyHV3_ORF99;186552;P90;3;1;sv;-11;DEL
"CHOSEN INTERESTING!!! apparition post choc, fixation graduelle. /note=""membrane glycoprotein; Provisional"" /note=""family of the cytolysin A (ClyA) family alpha
                     pore-forming toxins (alpha-PFT) including Bacillus cereus
                     HblB, Aeromonas hydrophila AhlB, Bacillus thuringiensis
                     Cry6Aa and similar proteins; cl45899""";CyHV3_ORF99;186552;P90;6;1;sv;-11;DEL
"CHOSEN INTERESTING!!! apparition post choc, fixation graduelle. /note=""membrane glycoprotein; Provisional"" /note=""family of the cytolysin A (ClyA) family alpha
                     pore-forming toxins (alpha-PFT) including Bacillus cereus
                     HblB, Aeromonas hydrophila AhlB, Bacillus thuringiensis
                     Cry6Aa and similar proteins; cl45899""";CyHV3_ORF99;186552;P90;7;0,935;sv;-11;DEL
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P30;1;0,897;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P50;10;0,929;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P50;1;0,724;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P50;3;0,867;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P50;7;0,895;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P50;9;0,868;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P65;1;0,791;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P65;2;1;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P65;3;0,919;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;10;0,742;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;1;0,681;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;2;0,748;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;3;0,714;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;4;0,696;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;5;0,723;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;6;0,791;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;7;0,662;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;8;0,713;sv;15;INS
"CHOSEN ORF135 = ""possibly ORF2 famile"" | regulatory_class=""polyA_signal_sequence""";CyHV3_ORF135;230496;P90;9;0,793;sv;15;INS
